sep= 
Time [s]	f1 [Hz]	f3 [Hz]	f5 [Hz]	f7 [Hz]	f9 [Hz]	f11 [Hz]	f13 [Hz]	D1 [ppm]	D3 [ppm]	D5 [ppm]	D7 [ppm]	D9 [ppm]	D11 [ppm]	D13 [ppm]
528,5330	-10,5181	1,9022	2,1309	2,0838	1,8873	2,4177	2,2079	-0,2416	-0,2817	0,0793	0,0273	0,0076	-0,0120	-0,0333
533,2653	-10,6785	1,8905	2,1751	2,1310	2,0463	2,1205	2,2846	-0,2307	-0,2538	0,0781	0,0261	0,0060	0,0227	-0,0638
537,8283	-10,8068	1,9239	2,1644	2,1076	2,0558	2,3384	2,2560	-0,2418	-0,2719	0,0790	0,0257	-0,0113	0,0011	-0,0689
542,7255	-10,9812	1,9356	2,1439	2,0884	2,0502	2,3586	2,4152	-0,2727	-0,2821	0,0867	0,0238	-0,0006	0,0334	-0,0551
547,5031	-11,0856	1,9000	2,1619	2,1991	2,0797	2,2823	2,2345	-0,2777	-0,2490	0,0801	0,0094	-0,0136	-0,0015	-0,1010
552,0980	-11,2158	1,9215	2,2036	2,1163	2,0691	2,1059	2,2086	-0,2936	-0,2607	0,0758	0,0476	-0,0042	0,0173	-0,0888
556,6943	-11,3195	1,9782	2,1662	2,2174	2,1832	2,4611	2,3706	-0,3027	-0,2643	0,0800	0,0445	0,0153	0,0252	-0,0964
561,3409	-11,4137	1,9784	2,1775	2,1619	2,0851	2,2526	2,3021	-0,3169	-0,2706	0,0712	0,0750	0,0119	0,0816	-0,0568
566,0363	-11,4779	1,9744	2,1870	2,2265	2,1520	2,2712	2,2547	-0,3444	-0,2828	0,0759	0,0186	0,0163	0,0627	-0,0833
570,6911	-11,6241	1,9893	2,1951	2,2256	2,0517	2,3440	2,2000	-0,3734	-0,2761	0,0927	0,0101	-0,0048	0,0453	-0,0121
575,3323	-11,6895	1,9514	2,2178	2,2404	2,0742	2,1529	2,3628	-0,3782	-0,2809	0,0798	0,0320	0,0162	0,0268	-0,0591
580,0164	-11,8280	2,0037	2,1837	2,2287	2,1382	2,1712	2,2900	-0,3731	-0,2778	0,0802	0,0116	0,0284	0,0338	-0,0480
584,6857	-11,9351	2,0388	2,2129	2,2594	2,1575	2,3988	2,3810	-0,4047	-0,2751	0,0753	-0,0035	-0,0025	-0,0202	-0,0444
589,3763	-12,0481	1,9944	2,2233	2,2818	2,1950	2,3986	2,4984	-0,4513	-0,2638	0,0773	0,0421	0,0275	-0,0483	-0,0433
593,9809	-12,1760	2,0153	2,2451	2,2053	2,1393	2,3674	2,3944	-0,4351	-0,2771	0,0913	0,0375	0,0033	-0,0156	-0,0310
598,5991	-12,4360	2,0359	2,2744	2,2519	2,1586	2,3404	2,3115	-0,4304	-0,2734	0,0725	0,0515	0,0015	-0,0651	-0,0561
603,1959	-12,4093	2,0333	2,2149	2,2626	2,1070	2,5658	2,4467	-0,4417	-0,2776	0,0817	0,0447	-0,0019	-0,0215	-0,0625
607,7721	-12,6363	2,0520	2,2761	2,3801	2,1718	2,3489	2,4180	-0,4693	-0,2788	0,0925	0,0422	-0,0014	0,0058	-0,0480
